@relation classification
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute class {Good,Bad,}
@data
0.477830,0.249542,149.687730,0.281421,Good
0.452681,0.190127,209.562821,0.281421,Good
0.242508,0.133683,209.562821,0.150761,Good
0.355678,0.249542,209.562821,0.201015,Good
0.355678,0.249542,209.562821,0.281421,Good
0.452681,0.178244,209.562821,0.281421,Good
0.373641,0.249542,169.646094,0.232284,Good
0.366456,0.249542,149.687730,0.281421,Good
0.388012,0.213893,169.646094,0.221116,Good
0.355678,0.249542,209.562821,0.281421,Good
0.366456,0.178244,159.666912,0.281421,Good
0.388012,0.249542,209.562821,0.201015,Good
0.355678,0.249542,209.562821,0.227817,Good
0.452681,0.249542,209.562821,0.227817,Good
0.373641,0.213893,209.562821,0.281421,Good
0.344900,0.196069,149.687730,0.281421,Good
0.355678,0.196069,209.562821,0.281421,Good
0.366456,0.249542,209.562821,0.281421,Good
0.366456,0.249542,209.562821,0.281421,Good
0.452681,0.249542,164.656503,0.281421,Good
0.452681,0.202010,209.562821,0.281421,Good
0.452681,0.249542,209.562821,0.201015,Good
0.355678,0.249542,149.687730,0.201015,Good
0.125745,0.178244,149.687730,0.281421,Good
0.355678,0.249542,209.562821,0.281421,Good
0.323343,0.202010,209.562821,0.221116,Good
0.258675,0.249542,149.687730,0.227817,Good
0.344900,0.249542,169.646094,0.281421,Good
0.388012,0.249542,149.687730,0.281421,Good
0.373641,0.249542,172.972487,0.281421,Good
0.452681,0.196069,209.562821,0.281421,Good
0.452681,0.205971,209.562821,0.254619,Good
0.452681,0.213893,209.562821,0.281421,Good
0.452681,0.249542,209.562821,0.281421,Good
0.452681,0.196069,209.562821,0.281421,Good
0.344900,0.249542,209.562821,0.232284,Good
0.344900,0.190127,169.646094,0.201015,Good
0.344900,0.190127,209.562821,0.281421,Good
0.373641,0.249542,209.562821,0.281421,Good
0.373641,0.249542,209.562821,0.221116,Good
0.373641,0.249542,209.562821,0.281421,Good
0.323343,0.263405,209.562821,0.297055,Good
0.452681,0.227757,209.562821,0.150761,Good
0.452681,0.249542,164.656503,0.297055,Good
0.452681,0.249542,159.666912,0.281421,Good
0.452681,0.263405,209.562821,0.297055,Good
0.452681,0.133683,209.562821,0.150761,Good
